主字段,章节,等级,知识解析,拓展解析
三焦通行诸气,中医基础理论::藏象::六腑::三焦,1,通道::三焦是一身之气上下运行、升降出入的[[通道]]，又是气化的场所<br>###元气::元气根于肾，通过三焦而充沛于全身<br>###三气::通行宗气、营气、卫气——胸中宗气自上而下到达脐下以资先天元气,"名言::""三焦通，则内外左右上下皆通也"""
三焦运行津液,中医基础理论::藏象::六腑::三焦,1,"定义::全身津液上下输布运行的[[通道]]——必须以三焦为通道<br>###气化::""[[三焦气化]]""——三焦疏通水道运行水液以调节津液代谢平衡","名言::""上焦不治则水泛高原，中焦不治则水留中脘，下焦不治则水乱二便"""
上焦如雾,中医基础理论::藏象::六腑::三焦,1,"部位::横膈以上，包括心、肺及头面部<br>###特点::""[[上焦如雾]]""——心肺输布营养至全身，如雾露之灌溉<br>###治则::""[[治上焦如羽，非轻不举]]""","名言::""上焦开发，宣五谷味，熏肤、充身、泽毛，若雾露之溉，是谓气"""
中焦如沤,中医基础理论::藏象::六腑::三焦,1,"部位::横膈以下、脐以上，包括脾胃、肝胆等<br>###特点::""[[中焦如沤]]""——消化饮食物如发酵酿造<br>###地位::中焦是升降之枢，气血生化之源<br>###治则::""[[治中焦如衡，非平不安]]""","血化::""中焦受气取汁，变化而赤，是谓血""<br>###注::就解剖位置肝胆属中焦；温病学三焦辨证将肝归下焦（肝肾同源）"
下焦如渎,中医基础理论::藏象::六腑::三焦,1,"部位::脐以下，包括肾、小肠、大肠、膀胱、女子胞、精室及两下肢<br>###特点::""[[下焦如渎]]""——排泄糟粕和尿液，如沟渠之通导<br>###治则::""[[治下焦如权，非重不沉]]""",辨证::三焦辨证为温病由浅及深三个病变阶段——始于上焦，终于下焦
奇恒之腑概念,中医基础理论::藏象::奇恒之腑::概述,1,"内容::脑、髓、骨、脉、胆、女子胞的总称<br>###命名::似脏非脏，似腑非腑，异于常态——""奇恒""<br>###特点::①形态[[中空]]，似腑；②功能[[藏贮精气]]而不泻，似脏",
脑概述,中医基础理论::藏象::奇恒之腑::脑,1,"定义::脑居颅内，由髓汇集而成——""诸髓者，皆属于脑""""脑为[[髓海]]""<br>###别称::""头者，[[精明之府]]""",
脑功能,中医基础理论::藏象::奇恒之腑::脑,1,"生命::主宰生命活动——""脑为[[元神之府]]""，是生命的枢机<br>###精神::主司精神活动——包括意识、思维、情志<br>###感觉::主感觉运动——口舌眼鼻耳五官诸窍皆位于头面与脑相通","名言::""髓海不足，则脑转耳鸣，胫酸眩冒，懈怠安卧""<br>###关系::脑髓充盈与肾精密切相关，且与五脏六腑之精有关——精神活动虽由脑与心主司，尚有""五神脏""之说"
髓,中医基础理论::藏象::奇恒之腑::髓,2,定义::骨腔中脂膏状的微精物质，分[[脑髓]]、[[脊髓]]和[[骨髓]]<br>###功能::充养脑髓、滋养骨骼、化生血液、主灵性技巧,"名言::""骨者，髓之府"""
骨,中医基础理论::藏象::奇恒之腑::骨,3,"功能::藏髓、支撑形体、保护内脏<br>###关系::由肾精充养，由肾气推动调控——""肾主骨""是肾精及肾气促进生长发育的具体体现",标志::骨的发育标志人形体的发育
脉,中医基础理论::藏象::奇恒之腑::脉,2,"别称::""脉者，[[血之府]]也""<br>###功能::容纳和运输血液的通道——心主身之血脉",
女子胞功能,中医基础理论::藏象::奇恒之腑::女子胞,1,别称::胞宫、子宫、子脏<br>###功能::①主持[[月经]]；②孕育[[胎儿]],
女子胞-天癸冲任,中医基础理论::藏象::奇恒之腑::女子胞,1,"天癸::肾中精气化生""天癸""→生殖器官发育成熟→月经来潮/绝经<br>###冲任::天癸至与竭和[[冲任]]二脉盛衰密切相关——治疗月经病及不孕症多调理冲任",关系::女子胞与冲、任、督、带及十二经脉均有密切关系
女子胞-脏腑关系,中医基础理论::藏象::奇恒之腑::女子胞,1,"最密切::女子胞与[[心肝脾肾]]关系尤为密切<br>###别称::""[[女子以肝为先天]]""<br>###经脉::最密切的脏腑经络：心、肝、脾、肾、冲任二脉",失调::①气血不和→胞宫功能失调；②心肝脾肾功能障碍→胞宫功能失调；③冲任气血不足→胞宫功能失常
心肺关系,中医基础理论::藏象::脏腑关系::脏与脏,1,"核心::气与血相互依存、相互为用——心主血，肺主气<br>###中心::[[宗气]]是联系心主行血和肺主呼吸的中心环节<br>###名言::""呼出心与肺""",病理::①心气不足→行血无力→心血瘀阻→肺气壅滞→咳嗽喘促；②肺气不足→血运无力→心悸心痛
心脾关系,中医基础理论::藏象::脏腑关系::脏与脏,1,血液生成::心主血供养于脾，心阳温脾；脾旺血足则心血充盈<br>###血液运行::心行血推动血行；脾统血控制血液不逸出脉外,病理::心脾两虚：眩晕、心悸失眠多梦、腹胀体倦乏力、面色无华
心肝关系,中医基础理论::藏象::脏腑关系::脏与脏,1,血液::心主行血使肝有所藏，肝主藏血调节血量<br>###情志::心主藏神有利于肝主疏泄，肝主疏泄有利于心神内守,病理::①心血不足与肝血亏虚相互影响→心肝血虚；②心神不安/肝气郁结→精神恍惚；③心火/肝火→心烦失眠、急躁易怒
心肾关系,中医基础理论::藏象::脏腑关系::脏与脏,1,"水火既济::心火下降于肾制约肾阴使肾水不寒；肾水上济于心制约心阳使心火不亢 = ""[[心肾相交]]""<br>###精神互用::心主神，神全可益精；肾主精，积精可全神<br>###君相安位::心为[[君火]]居上主宰；肾为[[相火]]居下为阳气之根","病理::""[[心肾不交]]""：肾阴虚于下而心火亢于上→心烦失眠、眩晕耳鸣、腰膝酸软、五心烦热"
肺脾关系,中医基础理论::藏象::脏腑关系::脏与脏,1,"气生成::宗气生成：肺吸入清气 + 脾运化水谷精气→宗气。""肺为主气之枢，脾为生气之源""<br>###津液::肺气宣降主行水，脾主运化水饮上输于肺——""脾为生痰之源，肺为贮痰之器""",病理::肺脾两虚：少气、神疲、乏力、懒言、声低息微
肺肝关系,中医基础理论::藏象::脏腑关系::脏与脏,1,"核心::人体气机升降——肝主升（生于左），肺主降（藏于右）= ""[[龙虎回环]]""<br>###重要::肝气主升、肺气主降为全身气机调畅最重要的环节",病理::①肝失疏泄/肝火犯肺→咳嗽气急（[[木火刑金]]）；②肺失清肃→肝气上逆→眩晕头痛
肺肾关系,中医基础理论::藏象::脏腑关系::脏与脏,1,"水液::肺为水之上源，肾为主水之脏——互相配合完成津液代谢<br>###呼吸::肺主呼气，肾主纳气——""肺为气之主，[[肾为气之根]]""<br>###阴液::""[[金水相生]]""——肺阴下输于肾，肾阴上滋于肺",病理::①肾不纳气→气喘呼多吸少；②肺肾阴虚→潮热五心烦热颧红盗汗；③肺累及肾→尿少水肿
肝脾关系,中医基础理论::藏象::脏腑关系::脏与脏,1,消化::肝主疏泄协调脾胃升降促进脾运化；脾气健旺使肝气条达疏泄<br>###血液::肝藏血，脾统血，使血不离经脉；脾生血使肝有所藏,病理::①[[肝脾不调]]：胸闷太息、纳呆腹胀、肠鸣泄泻；②脾胃湿热熏蒸肝胆→黄疸
肝肾关系,中医基础理论::藏象::脏腑关系::脏与脏,1,"精血同源::""[[乙癸同源]]""——肝藏血，肾藏精，精血皆由水谷之精化生且能相互资生<br>###藏泄互用::肝气疏泄使肾气封藏有度，肾气闭藏防肝气疏泄太过——调节月经和泄精<br>###阴阳互滋::肾阴滋养肝阴共同制约肝阳；肾阳资助肝阳共同温煦肝脉",病理::①肝肾精血虚→头昏目眩、腰膝酸软；②肝阳上亢→眩晕中风；③下焦虚寒→少腹冷痛、宫寒不孕
脾肾关系,中医基础理论::藏象::脏腑关系::脏与脏,1,先后天::脾为后天之本，运化依赖肾的蒸化；肾为先天之本，精气充盈依赖脾运化水谷精微的充养<br>###水液::脾主运化水液，肾为主水之脏（肾阳气化，开合有度）,病理::①脾肾精虚→生长发育迟缓或未老先衰；②脾肾阳虚→畏寒腹痛、五更泄泻、完谷不化；③脾肾两虚水湿内停→浮肿腹胀便溏
腑与腑关系,中医基础理论::藏象::脏腑关系::腑与腑,2,核心::体现于饮食物在消化、吸收、排泄过程中的相互联系与密切配合<br>###特点::六腑以降为顺，以通为用<br>###病变::常多表现在传化及排泄异常,传变::胃失和降→小肠泌别清浊失常→大肠传化糟粕失常；胆排泄障碍→影响脾胃运化；三焦不通→水液不行→尿少
心与小肠,中医基础理论::藏象::脏腑关系::脏与腑,1,联系::浊气归心→心血滋养心阳温煦助小肠化物；小肠化物泌清别浊→化生心血<br>###病理::[[心火下移小肠]]；小肠实热上熏于心；小肠虚寒日久致心血不足,
肺与大肠,中医基础理论::藏象::脏腑关系::脏与腑,1,肃降::肺气清肃下降→布散津液→促进大肠传导<br>###传导::大肠传导→糟粕下行→有利于肺气清肃,病理::①肺失肃降→腑气不通、肠燥便秘；②肺气虚弱→气虚便秘或大便溏泄；③大肠实热→腑气阻滞→胸闷咳喘
脾与胃,中医基础理论::藏象::脏腑关系::脏与腑,1,"纳运::[[纳运相得]]——脾主运化，胃主受纳<br>###升降::[[升降相因]]——脾主升清，胃主降浊，是脾胃间最根本最重要的关系。""脾宜升则健，胃宜降则和""<br>###燥湿::[[燥湿相济]]——脾喜燥恶湿，胃喜润恶燥。""太阴湿土得阳始运，阳明燥土得阴自安""",病理::①纳运失常→纳少脘痞、腹胀泄泻；②升降失常→胃脘坠胀、呕吐呃逆或内脏下垂；③燥湿失常→湿困脾运、排便异常
肝与胆,中医基础理论::藏象::脏腑关系::脏与腑,1,同司疏泄::肝主疏泄分泌胆汁促进排泄；胆附于肝藏泄胆汁有利于肝气疏泄<br>###共主勇怯::肝主[[谋虑]]，胆主[[决断]],病理::肝胆气滞、肝胆湿热、肝胆火旺；情志抑郁或惊恐胆怯
肾与膀胱,中医基础理论::藏象::脏腑关系::脏与腑,1,功能::肾气蒸化司膀胱开合，固摄小便；膀胱开合有度有利于肾主水之功<br>###合作::共同完成尿液生成、贮存、排泄,
精的概念,中医基础理论::精气血津液神::精,1,定义::精是由[[禀受于父母]]的生命物质与后天水谷精微相融合而形成的[[精华物质]]，是人体生命的本原，是构成人体和维持人体生命活动的[[最基本物质]]<br>###形态::精一般呈[[液态]]贮藏于脏腑之中或流动于脏腑之间,古文::夫精者，身之本也。是故五脏者，主藏精。食气入胃，散精于肝。
精的范畴,中医基础理论::精气血津液神::精,1,广义::[[广义之精]]包括气、血、津液等人体一切精微物质<br>###狭义::[[狭义之精]]专指[[生殖之精]]<br>###范畴::精概念的范畴仅限于先天之精、水谷之精、生殖之精及脏腑之精，[[不包含]]血、津液,
先天之精,中医基础理论::精气血津液神::精,1,定义::生命的[[本原物质]]，受之父母，[[先身而生]]<br>###功能::是构成人体[[胚胎]]和[[繁衍后代]]的基本物质,古文::以母为基，以父为楯。两神相搏，合而成形，常先身生，是谓精。
后天之精,中医基础理论::精气血津液神::精,1,来源::自然界清气、饮食物中摄取的营养精华以及脏腑气化所生成的精微物质<br>###基础::[[清气]]与[[饮食水谷]]是后天化生精微物质的基础<br>###水谷之精::由饮食水谷所化生的精微物质又称[[水谷之精]],
精的贮藏,中医基础理论::精气血津液神::精,2,总述::人体之精贮藏于脏腑身形中<br>###肾藏精::肾所藏先天之精在胎儿时期便贮藏于各脏腑中；后天之精经脾肺输送到各脏腑，部分输送于肾中以充养先天之精<br>###封藏::肾的藏精功能主要依赖肾气的[[封藏]]作用，肾精化生肾气，固摄封藏使精藏于肾中而不妄泄,古文::肾者主水，受五脏六腑之精而藏之。肾者主蛰，封藏之本，精之处也。<br>###病理::肾气虚亏、封藏失职，可出现遗精、滑精等症状<br>###要旨::肾为[[先天之本]]
精的施泄,中医基础理论::精气血津液神::精,2,形式一::分藏于各脏腑，濡养脏腑，并化气以推动和调节其功能活动<br>###形式二::[[生殖之精]]的施泄以繁衍生命,先天之精::化生[[元气]]，布散全身<br>###后天之精::由脾肺等转输到各脏腑，成为脏腑之精<br>###生殖之精::以先天之精为主体，在后天之精资助下化生，与[[肾气封藏]]、[[肝气疏泄]]及[[脾气运化]]密切相关
精的功能（上）,中医基础理论::精气血津液神::精,1,繁衍::精是生命的本原，生殖之精具有[[繁衍生命]]的作用<br>###濡养::精能[[濡养]]、滋润脏腑、形体、官窍<br>###化血::肾藏精，精生髓，[[精髓]]可化生血液<br>###化气::先天之精化生元气，水谷之精化生水谷之气，肺吸入清气，三者合而成[[一身之气]],古文::精不泄，归精于肝而化清血。精化为气。
精的功能（下）,中医基础理论::精气血津液神::精,1,化神::积精则[[全神]]，精亏则神疲，精亡则神散<br>###抗邪::保卫机体、[[抵御外邪]]入侵,古文::神者，水谷之精气也。精气不散，神守不分。故藏于精者，春不病温。
气的概念,中医基础理论::精气血津液神::气,1,定义::人体内[[活力很强]]、[[运动不息]]的极细微物质<br>###地位::是构成人体和维持人体生命活动的[[基本物质]]之一,
气的生成,中医基础理论::精气血津液神::气,1,来源::[[先天之气]](元气)、[[水谷之气]](最重要)、[[清气]](自然界)<br>###脏腑::肾为生气之[[根]]；脾胃为生气之[[源]]；肺为生气之[[主]],肾::先天之精化生先天之气，是人体之气的根本<br>###脾胃::水谷之精化生水谷之气，成为人体之气的[[主要来源]]<br>###肺::主呼吸之气，主司宗气生成(清气与水谷之气结合生成宗气)
